日付,曜日,予約件数,予約人数,来客数,総杯数,売上合計(円),ペールエール(本),ペールエール(円),ラガー(本),ラガー(円),IPA(本),IPA(円),ホワイトビール(本),ホワイトビール(円),黒ビール(本),黒ビール(円),フルーツビール(本),フルーツビール(円),平均気温(℃),天気概況(昼：06時～18時),降水量の合計(mm),合計全天日射量(MJ/㎡),最深積雪(cm),平均風速(m/s),平均蒸気圧(hPa),平均現地気圧(hPa),平均湿度(％),最大風速(m/s),最大瞬間風速(m/s),最高気温(℃),最低気温(℃),降雪量合計(cm),天気概況コード,曜日番号
2024-04-01,月,,,16,25,25300,6,6000,5,4000,5,4500,4,3600,6,7200,0,0,14.6,その他,3.0,14.85,0.0,2.8,11.9,1004.7,73.0,6.3,11.4,19.7,11.8,0.0,0,0
2024-04-02,火,,,19,25,24600,6,6000,4,3200,5,4500,3,2700,6,7200,1,1000,14.2,晴後薄曇,0.0,22.3,0.0,3.0,8.2,1013.7,50.0,6.1,10.9,20.6,8.4,0.0,9,1
2024-04-03,水,,,11,19,18500,5,5000,4,3200,3,2700,2,1800,4,4800,1,1000,13.9,雨時々曇,11.5,4.58,0.0,1.6,13.0,1009.9,83.0,3.9,6.7,16.6,12.3,0.0,28,2
2024-04-04,木,,,6,10,9500,2,2000,2,1600,2,1800,1,900,1,1200,2,2000,15.4,曇一時雨,4.0,9.27,0.0,2.0,13.6,1005.1,79.0,4.7,7.7,19.9,11.3,0.0,14,3
2024-04-05,金,,,10,18,17100,3,3000,5,4000,3,2700,2,1800,3,3600,2,2000,11.4,曇時々雨,0.5,2.97,0.0,2.8,9.6,1017.0,71.0,4.9,9.3,15.1,9.0,0.0,20,4
2024-04-06,土,,,17,36,34900,11,11000,8,6400,6,5400,3,2700,7,8400,1,1000,12.7,曇,0.0,8.84,0.0,1.8,12.0,1017.8,81.0,3.5,5.9,15.8,9.0,0.0,12,5
2024-04-08,月,,,7,9,8600,2,2000,2,1600,1,900,1,900,1,1200,2,2000,18.8,曇後雨,0.0,12.9,0.0,2.0,18.2,1015.0,85.0,5.6,7.8,23.2,15.4,0.0,18,0
2024-04-09,火,,,3,4,4800,1,1000,1,800,1,900,1,900,1,1200,0,0,15.6,その他,55.5,2.41,0.0,4.4,14.6,1005.9,78.0,11.0,23.7,19.8,9.7,0.0,0,1
2024-04-10,水,,,8,15,14700,3,3000,3,2400,2,1800,1,900,3,3600,3,3000,11.7,晴,0.0,26.41,0.0,3.2,6.3,1023.7,47.0,6.1,10.8,17.8,7.4,0.0,3,2
2024-04-11,木,,,15,19,18100,6,6000,4,3200,3,2700,2,1800,2,2400,2,2000,14.0,晴後薄曇,0.0,22.75,0.0,2.5,9.7,1025.6,62.0,5.9,8.5,19.8,7.7,0.0,9,3
